tag,patterns,responses
greeting,"['Hi', 'Greetings', 'Hey', 'How are you', 'Is anyone there?', 'Hello', 'Good day']","['Hey :-)', 'Hello, thanks for visiting', 'Hi there, what can I do for you?', 'Hi there, how can I help?', 'Hi, welcome to AJU, how can i help?']"
goodbye,"['Bye', 'See you later', 'Goodbye']","['See you later, thanks for visiting', 'Have a nice day', 'Bye!.']"
thanks,"['Thanks', 'Thank you', ""That's helpful"", ""Thank's a lot!""]","['Happy to help!', 'Any time!', 'My pleasure']"
general_information,"['Tell me about the history of the university.', 'What are some interesting facts about the university?', 'Who are you guys?', 'Tell me about the school?']","[""Arrupe Jesuit University (AJU) is an autonomous international academic institution, owned by the Southern Africa Province of the Society of Jesus on the behalf of the Jesuit Conference of Africa and Madagascar (JCAM). Click here to view the <a href='https://www.aju.ac.zw/our-history/'>history of the school</a>. View our <a href='https://www.aju.ac.zw/'>Home Page here</a>""]"
name,['What is your name?'],"[""My name is AJU Assistant and i'm here to help with your queries.""]"
library,"['Is there a library on campus?', 'Do you have a library?', 'Where is the library?']","[""There is a library on campus that houses a vast collection of books. View more library information <a href= 'https://www.aju.ac.zw/our-library/'>here</a>.""]"
facilities,"['What are the facilities available at the university?', 'what facilities does the school have?']","['Facilities at the university include an ICT/Computer Lab, Sports facilites, Library and a Gym.']"
campus_information,"['What about campus?', 'How is campus life?']","[""Campus life is rich in culture. Click <a href= 'https://www.aju.ac.zw/accomodation/'>here</a> for more information""]"
open_information,"['Do i have to be a Jesuit to join?', 'Do you accept girls?', 'Can anybody come?']",['AJU is open to everyone']
accommodation,"['Do you have accommodation for students?', 'Do you have houses for students?', 'Where do students stay?', 'How much for accommodation?']",['View the details of accommodation <a href = https://www.aju.ac.zw/accomodation/>here</a>']
location,"['Where are you guys?', 'Where is the university located?', 'Where is the school?', 'location', 'where are you located?', 'where is campus?']","[""The university is located in No. 16 Link Road, P.O Box MP 320 Mount Pleasant, Zimbabwe. View on <a href='https://www.google.com/maps/place/Arrupe+Jesuit/@-17.7761599,31.0558872,17z/data=!3m1!4b1!4m6!3m5!1s0x1931af8ad1f3dc95:0xd7d003b823669882!8m2!3d-17.776165!4d31.0584621!16s%2Fg%2F11bxfv7ccr?entry=ttu'>Maps</a>""]"
courses_information,"['What programs does the university offer?', 'Tell me about the academic programs at the university.', 'What courses do you offer?']","['The university offers a variety of programs including - BA Honors Degree in Philosophy, Masters Degree in Philosophy, Cisco Networking Academy, BSc (Honours) in Information & Communication Technology, BA Honours in Transformational Leadership.']"
departments_information,['What are the departments in the school?'],"['The departments in the school are - SCHOOL OF PHILOSOPHY & HUMANITIES, SCHOOL OF ENGINEERING & ICT, SCHOOL OF EDUCATION & LEADERSHIP, SCHOOL OF HEALTH SCIENCE AND TECHNOLOGY, SCHOOL OF MANAGEMENT AND DEVELOPMENT DEPARTMENT OF LANGUAGES.']"
courses_duration,"['How long is the duration of ICT Program?', 'Course duration']",['All BSc.(Hons) and BA.(Hons) programs are 4 years.']
general_admissions,"['How can I apply for admission?', 'What are the application deadlines?', 'What are the admission requirements?', 'Is there an entrance exam for admission?', 'Can I change my major after admission?', 'How do local students apply?', 'How can i apply?', 'How do i register?']","[""You can visit the university's official admissions portal for admission information. Click <a href='https://www.aju.ac.zw/aju-applications/'>here</a> ""]"
intl_admissions,"['What are the admission requirements for international students?', 'What are the admission requirements for foreign students?', 'Do you accept foreginers?', 'How do foreiners apply?', 'Can i apply from a different country?']","[""Click on this <a href='https://www.aju.ac.zw/2020/12/31/international-students/'>link</a> to view Admission requirements for international students""]"
fees,"['How much is the tuition fee for ICT?', 'What is the payment schedule for tuition?', 'Are there additional fees for international students?', 'How much is the school fees?', 'How do i pay the fees?', 'How much is school fees?']","[""For all school fees information please click <a href= 'https://www.aju.ac.zw/tuition-fees/'>here</a>  ""]"
scholarship,"['How can i get a scholarship?', 'Are scholarships available?', 'Are there any scholarships available?', 'How do i apply for a scholarship', 'How do i get a scholarship?']","[""Scholarships are available for eligible students. You can check by clicking <a href='https://www.aju.ac.zw/scholarships/'>here</a>""]"
timetable,"['Where can I find the class timetable?', 'timetable', 'How can I check my course schedule?', 'Where is the timetable?']","[""The class timetable is available on the JCAM Portal. Login <a href='https://jesuits-africa.education/acis/ais/'>here</a>  ""]"
exam_schedule,"['When is the exam?', 'What date is the exam?', 'When is the next exam starting?', 'When is the next exam scheduled?']",['Exam schedules are typically posted on the notice board and the student portal. Please check for updates.']
feedback,['Where can I submit feedback about a course?'],['Feedback about a course can be submitted through the course evaluation system.']
contact_information,"['How can I contact the admissions office?', 'How do i call?', 'How do i contact?', 'What is your contact information']","['You can contact the admissions office by email - admissions@aju.ac.zw , or by phone - +263 242 745411']"
